Region,Codigo region,Poblacion,fecha,numero
Arica y Parinacota,15,252110,2020-04-01,0
Tarapacá,01,382773,2020-04-01,1
Antofagasta,02,691854,2020-04-01,3
Atacama,03,314709,2020-04-01,0
Coquimbo,04,836096,2020-04-01,1
Valparaíso,05,1960170,2020-04-01,14
Metropolitana,13,8125072,2020-04-01,83
O’Higgins,06,991063,2020-04-01,5
Maule,07,1131939,2020-04-01,3
Ñuble,16,511551,2020-04-01,7
Biobío,08,1663696,2020-04-01,14
Araucanía,09,1014343,2020-04-01,26
Los Ríos,14,405835,2020-04-01,1
Los Lagos,10,891440,2020-04-01,10
Aysén,11,107297,2020-04-01,0
Magallanes,12,178362,2020-04-01,5
Arica y Parinacota,15,252110,2020-04-02,0
Tarapacá,01,382773,2020-04-02,1
Antofagasta,02,691854,2020-04-02,4
Atacama,03,314709,2020-04-02,0
Coquimbo,04,836096,2020-04-02,1
Valparaíso,05,1960170,2020-04-02,17
Metropolitana,13,8125072,2020-04-02,90
O’Higgins,06,991063,2020-04-02,5
Maule,07,1131939,2020-04-02,3
Ñuble,16,511551,2020-04-02,8
Biobío,08,1663696,2020-04-02,18
Araucanía,09,1014343,2020-04-02,29
Los Ríos,14,405835,2020-04-02,2
Los Lagos,10,891440,2020-04-02,12
Aysén,11,107297,2020-04-02,0
Magallanes,12,178362,2020-04-02,10
Arica y Parinacota,15,252110,2020-04-03,0
Tarapacá,01,382773,2020-04-03,1
Antofagasta,02,691854,2020-04-03,3
Atacama,03,314709,2020-04-03,0
Coquimbo,04,836096,2020-04-03,1
Valparaíso,05,1960170,2020-04-03,18
Metropolitana,13,8125072,2020-04-03,107
O’Higgins,06,991063,2020-04-03,5
Maule,07,1131939,2020-04-03,3
Ñuble,16,511551,2020-04-03,10
Biobío,08,1663696,2020-04-03,21
Araucanía,09,1014343,2020-04-03,37
Los Ríos,14,405835,2020-04-03,2
Los Lagos,10,891440,2020-04-03,18
Aysén,11,107297,2020-04-03,0
Magallanes,12,178362,2020-04-03,11
Arica y Parinacota,15,252110,2020-04-04,0
Tarapacá,01,382773,2020-04-04,1
Antofagasta,02,691854,2020-04-04,3
Atacama,03,314709,2020-04-04,0
Coquimbo,04,836096,2020-04-04,2
Valparaíso,05,1960170,2020-04-04,22
Metropolitana,13,8125072,2020-04-04,129
O’Higgins,06,991063,2020-04-04,5
Maule,07,1131939,2020-04-04,3
Ñuble,16,511551,2020-04-04,11
Biobío,08,1663696,2020-04-04,24
Araucanía,09,1014343,2020-04-04,44
Los Ríos,14,405835,2020-04-04,2
Los Lagos,10,891440,2020-04-04,22
Aysén,11,107297,2020-04-04,0
Magallanes,12,178362,2020-04-04,12
Arica y Parinacota,15,252110,2020-04-05,2
Tarapacá,01,382773,2020-04-05,1
Antofagasta,02,691854,2020-04-05,3
Atacama,03,314709,2020-04-05,0
Coquimbo,04,836096,2020-04-05,1
Valparaíso,05,1960170,2020-04-05,27
Metropolitana,13,8125072,2020-04-05,146
O’Higgins,06,991063,2020-04-05,5
Maule,07,1131939,2020-04-05,4
Ñuble,16,511551,2020-04-05,10
Biobío,08,1663696,2020-04-05,26
Araucanía,09,1014343,2020-04-05,44
Los Ríos,14,405835,2020-04-05,3
Los Lagos,10,891440,2020-04-05,22
Aysén,11,107297,2020-04-05,0
Magallanes,12,178362,2020-04-05,13
Arica y Parinacota,15,252110,2020-04-06,4
Tarapacá,01,382773,2020-04-06,2
Antofagasta,02,691854,2020-04-06,3
Atacama,03,314709,2020-04-06,0
Coquimbo,04,836096,2020-04-06,1
Valparaíso,05,1960170,2020-04-06,22
Metropolitana,13,8125072,2020-04-06,161
O’Higgins,06,991063,2020-04-06,6
Maule,07,1131939,2020-04-06,5
Ñuble,16,511551,2020-04-06,11
Biobío,08,1663696,2020-04-06,27
Araucanía,09,1014343,2020-04-06,46
Los Ríos,14,405835,2020-04-06,4
Los Lagos,10,891440,2020-04-06,23
Aysén,11,107297,2020-04-06,0
Magallanes,12,178362,2020-04-06,12
Arica y Parinacota,15,252110,2020-04-07,4
Tarapacá,01,382773,2020-04-07,2
Antofagasta,02,691854,2020-04-07,2
Atacama,03,314709,2020-04-07,0
Coquimbo,04,836096,2020-04-07,2
Valparaíso,05,1960170,2020-04-07,21
Metropolitana,13,8125072,2020-04-07,160
O’Higgins,06,991063,2020-04-07,6
Maule,07,1131939,2020-04-07,7
Ñuble,16,511551,2020-04-07,13
Biobío,08,1663696,2020-04-07,32
Araucanía,09,1014343,2020-04-07,46
Los Ríos,14,405835,2020-04-07,6
Los Lagos,10,891440,2020-04-07,24
Aysén,11,107297,2020-04-07,0
Magallanes,12,178362,2020-04-07,12
Arica y Parinacota,15,252110,2020-04-08,5
Tarapacá,01,382773,2020-04-08,2
Antofagasta,02,691854,2020-04-08,2
Atacama,03,314709,2020-04-08,1
Coquimbo,04,836096,2020-04-08,1
Valparaíso,05,1960170,2020-04-08,20
Metropolitana,13,8125072,2020-04-08,174
O’Higgins,06,991063,2020-04-08,6
Maule,07,1131939,2020-04-08,8
Ñuble,16,511551,2020-04-08,13
Biobío,08,1663696,2020-04-08,31
Araucanía,09,1014343,2020-04-08,54
Los Ríos,14,405835,2020-04-08,6
Los Lagos,10,891440,2020-04-08,25
Aysén,11,107297,2020-04-08,0
Magallanes,12,178362,2020-04-08,14
Arica y Parinacota,15,252110,2020-04-09,5
Tarapacá,01,382773,2020-04-09,2
Antofagasta,02,691854,2020-04-09,2
Atacama,03,314709,2020-04-09,1
Coquimbo,04,836096,2020-04-09,1
Valparaíso,05,1960170,2020-04-09,22
Metropolitana,13,8125072,2020-04-09,164
O’Higgins,06,991063,2020-04-09,6
Maule,07,1131939,2020-04-09,10
Ñuble,16,511551,2020-04-09,13
Biobío,08,1663696,2020-04-09,33
Araucanía,09,1014343,2020-04-09,56
Los Ríos,14,405835,2020-04-09,7
Los Lagos,10,891440,2020-04-09,24
Aysén,11,107297,2020-04-09,0
Magallanes,12,178362,2020-04-09,14
Arica y Parinacota,15,252110,2020-04-10,5
Tarapacá,01,382773,2020-04-10,3
Antofagasta,02,691854,2020-04-10,3
Atacama,03,314709,2020-04-10,1
Coquimbo,04,836096,2020-04-10,2
Valparaíso,05,1960170,2020-04-10,21
Metropolitana,13,8125072,2020-04-10,181
O’Higgins,06,991063,2020-04-10,7
Maule,07,1131939,2020-04-10,11
Ñuble,16,511551,2020-04-10,13
Biobío,08,1663696,2020-04-10,32
Araucanía,09,1014343,2020-04-10,57
Los Ríos,14,405835,2020-04-10,7
Los Lagos,10,891440,2020-04-10,25
Aysén,11,107297,2020-04-10,0
Magallanes,12,178362,2020-04-10,15
Arica y Parinacota,15,252110,2020-04-11,5
Tarapacá,01,382773,2020-04-11,3
Antofagasta,02,691854,2020-04-11,2
Atacama,03,314709,2020-04-11,1
Coquimbo,04,836096,2020-04-11,2
Valparaíso,05,1960170,2020-04-11,22
Metropolitana,13,8125072,2020-04-11,178
O’Higgins,06,991063,2020-04-11,7
Maule,07,1131939,2020-04-11,13
Ñuble,16,511551,2020-04-11,13
Biobío,08,1663696,2020-04-11,33
Araucanía,09,1014343,2020-04-11,53
Los Ríos,14,405835,2020-04-11,7
Los Lagos,10,891440,2020-04-11,26
Aysén,11,107297,2020-04-11,0
Magallanes,12,178362,2020-04-11,18
Arica y Parinacota,15,252110,2020-04-12,5
Tarapacá,01,382773,2020-04-12,2
Antofagasta,02,691854,2020-04-12,3
Atacama,03,314709,2020-04-12,1
Coquimbo,04,836096,2020-04-12,1
Valparaíso,05,1960170,2020-04-12,18
Metropolitana,13,8125072,2020-04-12,185
O’Higgins,06,991063,2020-04-12,7
Maule,07,1131939,2020-04-12,15
Ñuble,16,511551,2020-04-12,12
Biobío,08,1663696,2020-04-12,31
Araucanía,09,1014343,2020-04-12,56
Los Ríos,14,405835,2020-04-12,7
Los Lagos,10,891440,2020-04-12,26
Aysén,11,107297,2020-04-12,0
Magallanes,12,178362,2020-04-12,18
Arica y Parinacota,15,252110,2020-04-13,5
Tarapacá,01,382773,2020-04-13,2
Antofagasta,02,691854,2020-04-13,4
Atacama,03,314709,2020-04-13,1
Coquimbo,04,836096,2020-04-13,0
Valparaíso,05,1960170,2020-04-13,16
Metropolitana,13,8125072,2020-04-13,189
O’Higgins,06,991063,2020-04-13,7
Maule,07,1131939,2020-04-13,16
Ñuble,16,511551,2020-04-13,13
Biobío,08,1663696,2020-04-13,35
Araucanía,09,1014343,2020-04-13,52
Los Ríos,14,405835,2020-04-13,7
Los Lagos,10,891440,2020-04-13,25
Aysén,11,107297,2020-04-13,0
Magallanes,12,178362,2020-04-13,15
Arica y Parinacota,15,252110,2020-04-14,5
Tarapacá,01,382773,2020-04-14,1
Antofagasta,02,691854,2020-04-14,4
Atacama,03,314709,2020-04-14,1
Coquimbo,04,836096,2020-04-14,1
Valparaíso,05,1960170,2020-04-14,16
Metropolitana,13,8125072,2020-04-14,190
O’Higgins,06,991063,2020-04-14,5
Maule,07,1131939,2020-04-14,15
Ñuble,16,511551,2020-04-14,12
Biobío,08,1663696,2020-04-14,35
Araucanía,09,1014343,2020-04-14,46
Los Ríos,14,405835,2020-04-14,7
Los Lagos,10,891440,2020-04-14,26
Aysén,11,107297,2020-04-14,0
Magallanes,12,178362,2020-04-14,15
Arica y Parinacota,15,252110,2020-04-15,5
Tarapacá,01,382773,2020-04-15,0
Antofagasta,02,691854,2020-04-15,5
Atacama,03,314709,2020-04-15,1
Coquimbo,04,836096,2020-04-15,1
Valparaíso,05,1960170,2020-04-15,16
Metropolitana,13,8125072,2020-04-15,198
O’Higgins,06,991063,2020-04-15,6
Maule,07,1131939,2020-04-15,15
Ñuble,16,511551,2020-04-15,13
Biobío,08,1663696,2020-04-15,35
Araucanía,09,1014343,2020-04-15,46
Los Ríos,14,405835,2020-04-15,6
Los Lagos,10,891440,2020-04-15,26
Aysén,11,107297,2020-04-15,0
Magallanes,12,178362,2020-04-15,16
Arica y Parinacota,15,252110,2020-04-16,6
Tarapacá,01,382773,2020-04-16,0
Antofagasta,02,691854,2020-04-16,5
Atacama,03,314709,2020-04-16,1
Coquimbo,04,836096,2020-04-16,0
Valparaíso,05,1960170,2020-04-16,18
Metropolitana,13,8125072,2020-04-16,196
O’Higgins,06,991063,2020-04-16,4
Maule,07,1131939,2020-04-16,13
Ñuble,16,511551,2020-04-16,12
Biobío,08,1663696,2020-04-16,30
Araucanía,09,1014343,2020-04-16,47
Los Ríos,14,405835,2020-04-16,7
Los Lagos,10,891440,2020-04-16,27
Aysén,11,107297,2020-04-16,0
Magallanes,12,178362,2020-04-16,18
Arica y Parinacota,15,252110,2020-04-17,6
Tarapacá,01,382773,2020-04-17,0
Antofagasta,02,691854,2020-04-17,6
Atacama,03,314709,2020-04-17,1
Coquimbo,04,836096,2020-04-17,0
Valparaíso,05,1960170,2020-04-17,18
Metropolitana,13,8125072,2020-04-17,202
O’Higgins,06,991063,2020-04-17,4
Maule,07,1131939,2020-04-17,12
Ñuble,16,511551,2020-04-17,12
Biobío,08,1663696,2020-04-17,27
Araucanía,09,1014343,2020-04-17,47
Los Ríos,14,405835,2020-04-17,6
Los Lagos,10,891440,2020-04-17,26
Aysén,11,107297,2020-04-17,0
Magallanes,12,178362,2020-04-17,18
Arica y Parinacota,15,252110,2020-04-18,5
Tarapacá,01,382773,2020-04-18,0
Antofagasta,02,691854,2020-04-18,5
Atacama,03,314709,2020-04-18,1
Coquimbo,04,836096,2020-04-18,0
Valparaíso,05,1960170,2020-04-18,19
Metropolitana,13,8125072,2020-04-18,181
O’Higgins,06,991063,2020-04-18,4
Maule,07,1131939,2020-04-18,12
Ñuble,16,511551,2020-04-18,13
Biobío,08,1663696,2020-04-18,25
Araucanía,09,1014343,2020-04-18,46
Los Ríos,14,405835,2020-04-18,6
Los Lagos,10,891440,2020-04-18,26
Aysén,11,107297,2020-04-18,0
Magallanes,12,178362,2020-04-18,17
Arica y Parinacota,15,252110,2020-04-19,5
Tarapacá,01,382773,2020-04-19,1
Antofagasta,02,691854,2020-04-19,5
Atacama,03,314709,2020-04-19,1
Coquimbo,04,836096,2020-04-19,0
Valparaíso,05,1960170,2020-04-19,22
Metropolitana,13,8125072,2020-04-19,186
O’Higgins,06,991063,2020-04-19,4
Maule,07,1131939,2020-04-19,15
Ñuble,16,511551,2020-04-19,14
Biobío,08,1663696,2020-04-19,26
