Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica - Parinacota,782,46,40,6,9,0.64%
Tarapaca,2965,155,139,16,28,2.42%
Antofagasta,2924,62,53,9,42,2.39%
Atacama,269,11,8,3,0,0.22%
Coquimbo,832,60,37,23,5,0.68%
Valparaiso,4266,249,233,16,88,3.48%
Metropolitana,99066,3176,2888,288,1105,80.87%
O'Higgins,1016,49,45,4,22,0.83%
Maule,1834,102,96,6,24,1.50%
Nuble,1429,57,52,5,24,1.17%
Biobio,2379,78,67,11,13,1.94%
Araucania,2288,106,89,17,48,1.87%
De los Rios,390,11,7,4,8,0.32%
De los Lagos,968,42,35,7,13,0.79%
Aysen,19,0,0,0,0,0.02%
Magallanes,1072,3,1,2,19,0.88%
Total,122499,4207,3790,417,1448,100%
