Region,Casos totales acumulados,Casos nuevos totales,Casos nuevos con sintomas,Casos nuevos sin sintomas*,Fallecidos totales,% Total
Arica - Parinacota,967,37,35,2,10,0.63%
Tarapaca,3696,105,92,13,46,2.40%
Antofagasta,3753,194,179,15,57,2.44%
Atacama,389,24,22,2,0,0.25%
Coquimbo,1345,89,75,14,7,0.87%
Valparaiso,5865,251,216,35,107,3.81%
Metropolitana,124135,4389,4039,350,2273,80.56%
O'Higgins,1552,110,98,12,28,1.01%
Maule,2560,120,105,15,19,1.66%
Nuble,1673,57,52,5,20,1.09%
Biobio,2974,128,106,22,12,1.93%
Araucania,2535,47,34,13,34,1.65%
De los Rios,462,10,9,1,8,0.30%
De los Lagos,1062,21,18,3,12,0.69%
Aysen,22,1,1,0,0,0.01%
Magallanes,1102,13,8,5,15,0.72%
Total,154092,5596,5089,507,2648,100%
