Region,Codigo region,Poblacion,fecha,numero
Arica y Parinacota,15,252110,2020-04-09,70
Tarapacá,01,382773,2020-04-09,
Antofagasta,02,691854,2020-04-09,182
Atacama,03,314709,2020-04-09,57
Coquimbo,04,836096,2020-04-09,
Valparaíso,05,1960170,2020-04-09,301
Metropolitana,13,8125072,2020-04-09,5383
O’Higgins,06,991063,2020-04-09,68
Maule,07,1131939,2020-04-09,397
Ñuble,16,511551,2020-04-09,364
Biobío,08,1663696,2020-04-09,592
Araucanía,09,1014343,2020-04-09,124
Los Ríos,14,405835,2020-04-09,
Los Lagos,10,891440,2020-04-09,341
Aysén,11,107297,2020-04-09,10
Magallanes,12,178362,2020-04-09,73
Arica y Parinacota,15,252110,2020-04-10,
Tarapacá,01,382773,2020-04-10,
Antofagasta,02,691854,2020-04-10,128
Atacama,03,314709,2020-04-10,52
Coquimbo,04,836096,2020-04-10,
Valparaíso,05,1960170,2020-04-10,249
Metropolitana,13,8125072,2020-04-10,3185
O’Higgins,06,991063,2020-04-10,
Maule,07,1131939,2020-04-10,219
Ñuble,16,511551,2020-04-10,
Biobío,08,1663696,2020-04-10,149
Araucanía,09,1014343,2020-04-10,148
Los Ríos,14,405835,2020-04-10,91
Los Lagos,10,891440,2020-04-10,199
Aysén,11,107297,2020-04-10,
Magallanes,12,178362,2020-04-10,24
Arica y Parinacota,15,252110,2020-04-11,93
Tarapacá,01,382773,2020-04-11,
Antofagasta,02,691854,2020-04-11,107
Atacama,03,314709,2020-04-11,60
Coquimbo,04,836096,2020-04-11,
Valparaíso,05,1960170,2020-04-11,248
Metropolitana,13,8125072,2020-04-11,2105
O’Higgins,06,991063,2020-04-11,74
Maule,07,1131939,2020-04-11,
Ñuble,16,511551,2020-04-11,259
Biobío,08,1663696,2020-04-11,281
Araucanía,09,1014343,2020-04-11,126
Los Ríos,14,405835,2020-04-11,
Los Lagos,10,891440,2020-04-11,178
Aysén,11,107297,2020-04-11,
Magallanes,12,178362,2020-04-11,46
Arica y Parinacota,15,252110,2020-04-12,103
Tarapacá,01,382773,2020-04-12,
Antofagasta,02,691854,2020-04-12,175
Atacama,03,314709,2020-04-12,25
Coquimbo,04,836096,2020-04-12,
Valparaíso,05,1960170,2020-04-12,273
Metropolitana,13,8125072,2020-04-12,3861
O’Higgins,06,991063,2020-04-12,
Maule,07,1131939,2020-04-12,341
Ñuble,16,511551,2020-04-12,189
Biobío,08,1663696,2020-04-12,469
Araucanía,09,1014343,2020-04-12,184
Los Ríos,14,405835,2020-04-12,
Los Lagos,10,891440,2020-04-12,225
Aysén,11,107297,2020-04-12,7
Magallanes,12,178362,2020-04-12,45
Arica y Parinacota,15,252110,2020-04-13,
Tarapacá,01,382773,2020-04-13,
Antofagasta,02,691854,2020-04-13,103
Atacama,03,314709,2020-04-13,20
Coquimbo,04,836096,2020-04-13,
Valparaíso,05,1960170,2020-04-13,223
Metropolitana,13,8125072,2020-04-13,1850
O’Higgins,06,991063,2020-04-13,74
Maule,07,1131939,2020-04-13,113
Ñuble,16,511551,2020-04-13,65
Biobío,08,1663696,2020-04-13,
Araucanía,09,1014343,2020-04-13,232
Los Ríos,14,405835,2020-04-13,
Los Lagos,10,891440,2020-04-13,39
Aysén,11,107297,2020-04-13,
Magallanes,12,178362,2020-04-13,45
Arica y Parinacota,15,252110,2020-04-14,93
Tarapacá,01,382773,2020-04-14,
