Region,Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso,Metropolitana,O’Higgins,Maule,Ñuble,Biobío,Araucanía,Los Ríos,Los Lagos,Aysén,Magallanes,Total
2020-03-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2020-03-24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
2020-03-25,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3
2020-03-26,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4
2020-03-27,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,5
2020-03-28,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,0,6
2020-03-29,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,7
2020-03-30,0,0,0,0,0,0,3,0,1,0,2,2,0,0,0,0,8
2020-03-31,0,0,0,0,0,1,4,0,1,0,2,4,0,0,0,0,12
2020-04-01,0,0,0,0,0,1,5,0,1,0,2,6,1,0,0,0,16
2020-04-02,0,0,0,0,0,1,6,0,1,0,2,7,1,0,0,0,18
2020-04-03,0,0,0,0,0,1,8,0,1,1,2,7,1,0,0,1,22
2020-04-04,0,0,0,0,0,1,9,0,1,2,2,9,1,0,0,2,27
2020-04-05,0,0,0,0,0,1,10,0,1,3,2,13,1,1,0,2,34
2020-04-06,0,0,0,0,0,1,10,0,1,4,2,14,1,2,0,2,37
2020-04-07,0,0,1,0,0,1,12,0,2,5,2,14,2,2,0,2,43
2020-04-08,0,0,1,0,0,2,14,0,2,5,2,15,2,2,0,3,48
2020-04-09,0,0,1,0,0,2,21,0,2,6,2,16,2,2,0,3,57
2020-04-10,0,0,1,0,0,2,29,0,2,6,2,16,2,2,0,3,65
2020-04-11,0,0,1,0,0,2,32,0,3,6,2,17,2,5,0,3,73
2020-04-12,1,0,1,0,0,2,35,0,3,7,2,17,3,5,0,4,80
2020-04-13,1,0,1,0,0,2,36,0,3,7,2,17,3,5,0,5,82
2020-04-14,1,0,1,0,0,2,40,0,4,8,2,20,3,5,0,6,92
2020-04-15,1,0,1,0,0,2,41,0,4,8,2,21,3,5,0,6,94
2020-04-16,1,0,1,0,0,4,48,0,4,10,2,21,3,5,0,6,105
2020-04-17,2,0,1,0,0,4,51,0,7,11,3,22,3,6,0,6,116
2020-04-18,2,0,1,0,0,4,58,0,8,12,3,23,3,6,0,6,126
2020-04-19,2,0,1,0,0,5,63,0,8,13,3,23,3,6,0,6,133
2020-04-20,2,0,1,0,0,5,67,0,10,13,3,23,3,6,0,6,139
2020-04-21,2,0,1,0,0,6,69,1,10,13,4,25,3,6,0,7,147
2020-04-22,2,0,2,0,0,7,78,1,10,13,5,26,3,6,0,7,160
2020-04-23,2,0,2,0,0,7,85,1,10,13,5,26,3,7,0,7,168
2020-04-24,3,0,2,0,0,8,86,1,10,14,5,26,3,8,0,8,174
2020-04-25,3,1,3,0,0,9,89,1,10,14,5,27,3,8,0,8,181
2020-04-26,3,1,4,0,0,9,91,1,11,14,6,29,3,8,0,9,189
2020-04-27,3,1,4,0,0,9,95,1,12,14,6,32,3,8,0,10,198
2020-04-28,3,1,4,0,0,10,100,1,12,14,7,32,4,9,0,10,207
2020-04-29,4,1,4,0,0,12,104,1,13,14,7,32,4,9,0,11,216
2020-04-30,4,1,5,0,0,12,110,1,13,14,7,35,4,10,0,11,227
2020-05-01,4,1,7,0,0,12,114,1,13,14,7,36,4,10,0,11,234
2020-05-02,4,1,7,0,0,13,122,3,13,16,7,36,4,10,0,11,247
2020-05-03,4,1,7,0,0,13,135,3,13,16,7,36,4,10,0,11,260
2020-05-04,4,1,7,0,0,13,143,3,13,17,8,36,4,10,0,11,270
2020-05-05,4,1,7,0,0,15,146,3,13,17,8,36,4,10,0,11,275
