Comorbilidad,Hospitalización,Fecha,Casos confirmados
Hipertensión arterial,NO,2020-05-25,6350.0
Diabetes,NO,2020-05-25,2770.0
Obesidad,NO,2020-05-25,1351.0
Enfermedad cardiovascular,NO,2020-05-25,540.0
Cardiopatía crónica,NO,2020-05-25,405.0
Enfermedad pulmonar crónica,NO,2020-05-25,405.0
Enfermedad renal crónica,NO,2020-05-25,203.0
Asma,NO,2020-05-25,1554.0
Enfermedad neurológica crónica,NO,2020-05-25,203.0
Inmunocomprometido,NO,2020-05-25,68.0
Enfermedad hepática crónica,NO,2020-05-25,68.0
Hipertensión arterial,SI,2020-05-25,1861.0
Diabetes,SI,2020-05-25,1262.0
Obesidad,SI,2020-05-25,380.0
Enfermedad cardiovascular,SI,2020-05-25,296.0
Cardiopatía crónica,SI,2020-05-25,328.0
Enfermedad pulmonar crónica,SI,2020-05-25,309.0
Enfermedad renal crónica,SI,2020-05-25,283.0
Asma,SI,2020-05-25,232.0
Enfermedad neurológica crónica,SI,2020-05-25,193.0
Inmunocomprometido,SI,2020-05-25,84.0
Enfermedad hepática crónica,SI,2020-05-25,71.0
Hipertensión arterial,NO,2020-05-29,8134.0
Diabetes,NO,2020-05-29,3569.0
Obesidad,NO,2020-05-29,1743.0
Enfermedad cardiovascular,NO,2020-05-29,664.0
Cardiopatía crónica,NO,2020-05-29,498.0
Enfermedad pulmonar crónica,NO,2020-05-29,415.0
Enfermedad renal crónica,NO,2020-05-29,332.0
Asma,NO,2020-05-29,1909.0
Enfermedad neurológica crónica,NO,2020-05-29,249.0
Inmunocomprometido,NO,2020-05-29,83.0
Enfermedad hepática crónica,NO,2020-05-29,83.0
Hipertensión arterial,SI,2020-05-29,2192.0
Diabetes,SI,2020-05-29,1467.0
Obesidad,SI,2020-05-29,466.0
Enfermedad cardiovascular,SI,2020-05-29,328.0
Cardiopatía crónica,SI,2020-05-29,367.0
Enfermedad pulmonar crónica,SI,2020-05-29,344.0
Enfermedad renal crónica,SI,2020-05-29,336.0
Asma,SI,2020-05-29,252.0
Enfermedad neurológica crónica,SI,2020-05-29,214.0
Inmunocomprometido,SI,2020-05-29,99.0
Enfermedad hepática crónica,SI,2020-05-29,92.0
Hipertensión arterial,NO,2020-06-01,9725.0
Diabetes,NO,2020-06-01,4333.0
Obesidad,NO,2020-06-01,2118.0
Enfermedad cardiovascular,NO,2020-06-01,770.0
Cardiopatía crónica,NO,2020-06-01,578.0
Enfermedad pulmonar crónica,NO,2020-06-01,578.0
Enfermedad renal crónica,NO,2020-06-01,385.0
Asma,NO,2020-06-01,2311.0
Enfermedad neurológica crónica,NO,2020-06-01,289.0
Inmunocomprometido,NO,2020-06-01,96.0
Enfermedad hepática crónica,NO,2020-06-01,96.0
Hipertensión arterial,SI,2020-06-01,2556.0
Diabetes,SI,2020-06-01,1695.0
Obesidad,SI,2020-06-01,541.0
Enfermedad cardiovascular,SI,2020-06-01,373.0
Cardiopatía crónica,SI,2020-06-01,408.0
Enfermedad pulmonar crónica,SI,2020-06-01,391.0
Enfermedad renal crónica,SI,2020-06-01,382.0
Asma,SI,2020-06-01,293.0
Enfermedad neurológica crónica,SI,2020-06-01,240.0
Inmunocomprometido,SI,2020-06-01,106.0
Enfermedad hepática crónica,SI,2020-06-01,106.0
Hipertensión arterial,NO,2020-06-05,11543.0
Diabetes,NO,2020-06-05,5043.0
Obesidad,NO,2020-06-05,2578.0
Enfermedad cardiovascular,NO,2020-06-05,784.0
Cardiopatía crónica,NO,2020-06-05,672.0
Enfermedad pulmonar crónica,NO,2020-06-05,672.0
Enfermedad renal crónica,NO,2020-06-05,448.0
Asma,NO,2020-06-05,2690.0
Enfermedad neurológica crónica,NO,2020-06-05,336.0
Inmunocomprometido,NO,2020-06-05,112.0
Enfermedad hepática crónica,NO,2020-06-05,112.0
Hipertensión arterial,SI,2020-06-05,3025.0
Diabetes,SI,2020-06-05,1972.0
Obesidad,SI,2020-06-05,647.0
Enfermedad cardiovascular,SI,2020-06-05,417.0
Cardiopatía crónica,SI,2020-06-05,459.0
Enfermedad pulmonar crónica,SI,2020-06-05,459.0
Enfermedad renal crónica,SI,2020-06-05,449.0
Asma,SI,2020-06-05,344.0
Enfermedad neurológica crónica,SI,2020-06-05,271.0
