Region,Poblacion,Fecha,PCR Realizados,Region ID,Tasa
Arica y Parinacota,252110,2020/04/09,70,15,27.765657847764864
Tarapacá,382773,2020/04/09,-,Tarapacá,-
Antofagasta,691854,2020/04/09,182,2,26.306128171550643
Atacama,314709,2020/04/09,57,3,18.11197010571671
Coquimbo,836096,2020/04/09,-,4,-
Valparaíso,1960170,2020/04/09,301,Valparaíso,15.35581097557865
Metropolitana,8125072,2020/04/09,5383,13,66.25172060013746
O’Higgins,991063,2020/04/09,68,O’Higgins,6.86131961338482
Maule,1131939,2020/04/09,397,7,35.07256133060174
Ñuble,511551,2020/04/09,364,Ñuble,71.15615060863922
Biobío,1663696,2020/04/09,592,Biobío,35.583423894750005
Araucanía,1014343,2020/04/09,124,Araucanía,12.224661677558775
Los Ríos,405835,2020/04/09,-,Los Ríos,-
Los Lagos,891440,2020/04/09,341,10,38.25271470878579
Aysén,107297,2020/04/09,10,Aysén,9.319925067802455
Magallanes,178362,2020/04/09,73,12,40.928000358820825
Arica y Parinacota,252110,2020/04/10,-,15,-
Tarapacá,382773,2020/04/10,-,Tarapacá,-
Antofagasta,691854,2020/04/10,128,2,18.501013219552103
Atacama,314709,2020/04/10,52,3,16.5232007981977
Coquimbo,836096,2020/04/10,-,4,-
Valparaíso,1960170,2020/04/10,249,Valparaíso,12.702979843584995
Metropolitana,8125072,2020/04/10,3158,13,38.86734788319414
O’Higgins,991063,2020/04/10,-,O’Higgins,-
Maule,1131939,2020/04/10,219,7,19.34733232091129
Ñuble,511551,2020/04/10,-,Ñuble,-
Biobío,1663696,2020/04/10,149,Biobío,8.955963108644848
Araucanía,1014343,2020/04/10,148,Araucanía,14.590725228054021
Los Ríos,405835,2020/04/10,91,Los Ríos,22.42290586075622
Los Lagos,891440,2020/04/10,199,10,22.323431750874988
Aysén,107297,2020/04/10,-,Aysén,-
Magallanes,178362,2020/04/10,24,12,13.455780939886298
Arica y Parinacota,252110,2020/04/11,-,15,-
Tarapacá,382773,2020/04/11,-,Tarapacá,-
Antofagasta,691854,2020/04/11,107,2,15.465690738219333
Atacama,314709,2020/04/11,60,3,19.065231690228117
