Region,Poblacion,Fecha,PCR Realizados,Region ID,Tasa
Arica y Parinacota,252110,2020/04/09,70.0,15,27.765657847764864
Tarapacá,382773,2020/04/09,-,1,-
Antofagasta,691854,2020/04/09,182.0,2,26.306128171550643
Atacama,314709,2020/04/09,57.0,3,18.11197010571671
Coquimbo,836096,2020/04/09,-,4,-
Valparaíso,1960170,2020/04/09,301.0,5,15.35581097557865
Metropolitana,8125072,2020/04/09,5383.0,13,66.25172060013746
O’Higgins,991063,2020/04/09,68.0,6,6.86131961338482
Maule,1131939,2020/04/09,397.0,7,35.07256133060174
Ñuble,511551,2020/04/09,364.0,16,71.15615060863922
Biobío,1663696,2020/04/09,592.0,8,35.583423894750005
Araucanía,1014343,2020/04/09,124.0,9,12.224661677558775
Los Ríos,405835,2020/04/09,-,14,-
Los Lagos,891440,2020/04/09,341.0,10,38.25271470878579
Aysén,107297,2020/04/09,10.0,11,9.319925067802455
Magallanes,178362,2020/04/09,73.0,12,40.928000358820825
Arica y Parinacota,252110,2020/04/10,-,15,-
Tarapacá,382773,2020/04/10,-,1,-
Antofagasta,691854,2020/04/10,128.0,2,18.501013219552103
Atacama,314709,2020/04/10,52.0,3,16.5232007981977
Coquimbo,836096,2020/04/10,-,4,-
Valparaíso,1960170,2020/04/10,249.0,5,12.702979843584995
Metropolitana,8125072,2020/04/10,3185.0,13,39.19965263077054
O’Higgins,991063,2020/04/10,-,6,-
Maule,1131939,2020/04/10,219.0,7,19.34733232091129
Ñuble,511551,2020/04/10,-,16,-
Biobío,1663696,2020/04/10,149.0,8,8.955963108644848
Araucanía,1014343,2020/04/10,148.0,9,14.590725228054021
Los Ríos,405835,2020/04/10,91.0,14,22.42290586075622
Los Lagos,891440,2020/04/10,199.0,10,22.323431750874988
Aysén,107297,2020/04/10,-,11,-
Magallanes,178362,2020/04/10,24.0,12,13.455780939886298
Arica y Parinacota,252110,2020/04/11,93.0,15,36.88865971203046
Tarapacá,382773,2020/04/11,-,1,-
Antofagasta,691854,2020/04/11,107.0,2,15.465690738219333
Atacama,314709,2020/04/11,60.0,3,19.065231690228117
Coquimbo,836096,2020/04/11,-,4,-
Valparaíso,1960170,2020/04/11,248.0,5,12.651963860277425
Metropolitana,8125072,2020/04/11,2105.0,13,25.907462727714904
O’Higgins,991063,2020/04/11,74.0,6,7.466730167507011
Maule,1131939,2020/04/11,-,7,-
Ñuble,511551,2020/04/11,259.0,16,50.63033793307021
Biobío,1663696,2020/04/11,281.0,8,16.890104923014782
Araucanía,1014343,2020/04/11,126.0,9,12.421833640100045
Los Ríos,405835,2020/04/11,-,14,-
Los Lagos,891440,2020/04/11,178.0,10,19.96769272188818
Aysén,107297,2020/04/11,-,11,-
Magallanes,178362,2020/04/11,46.0,12,25.79024680144874
Arica y Parinacota,252110,2020/04/12,103.0,15,40.85518226171116
Tarapacá,382773,2020/04/12,-,1,-
Antofagasta,691854,2020/04/12,175.0,2,25.29435401110639
Atacama,314709,2020/04/12,25.0,3,7.943846537595048
Coquimbo,836096,2020/04/12,-,4,-
Valparaíso,1960170,2020/04/12,273.0,5,13.927363442966682
Metropolitana,8125072,2020/04/12,3861.0,13,47.51957890342387
O’Higgins,991063,2020/04/12,-,6,-
