Region,Poblacion,Fecha,PCR Realizados,Region ID,Tasa
Arica y Parinacota,252110,Codigo region,15,15,5.949783824521043
Tarapacá,382773,Codigo region,1,1,0.261251446679886
Antofagasta,691854,Codigo region,2,2,0.2890783315555016
Atacama,314709,Codigo region,3,3,0.9532615845114057
Coquimbo,836096,Codigo region,4,4,0.47841396203306796
Valparaíso,1960170,Codigo region,5,5,0.25507991653785134
Metropolitana,8125072,Codigo region,13,13,0.15999858216641033
O’Higgins,991063,Codigo region,6,6,0.60541055412219
Maule,1131939,Codigo region,7,7,0.6184078824035572
Ñuble,511551,Codigo region,16,16,3.127742883896229
Biobío,1663696,Codigo region,8,8,0.48085707965878377
Araucanía,1014343,Codigo region,9,9,0.8872738314357176
Los Ríos,405835,Codigo region,14,14,3.449677824731726
Los Lagos,891440,Codigo region,10,10,1.121780489993718
Aysén,107297,Codigo region,11,11,10.2519175745827
Magallanes,178362,Codigo region,12,12,6.727890469943149
Arica y Parinacota,252110,2020/04/09,70,15,27.765657847764864
Tarapacá,382773,2020/04/09,-,1,-
Antofagasta,691854,2020/04/09,182,2,26.306128171550643
Atacama,314709,2020/04/09,57,3,18.11197010571671
Coquimbo,836096,2020/04/09,-,4,-
Valparaíso,1960170,2020/04/09,301,5,15.35581097557865
Metropolitana,8125072,2020/04/09,5383,13,66.25172060013746
O’Higgins,991063,2020/04/09,68,6,6.86131961338482
Maule,1131939,2020/04/09,397,7,35.07256133060174
Ñuble,511551,2020/04/09,364,16,71.15615060863922
Biobío,1663696,2020/04/09,592,8,35.583423894750005
Araucanía,1014343,2020/04/09,124,9,12.224661677558775
Los Ríos,405835,2020/04/09,-,14,-
Los Lagos,891440,2020/04/09,341,10,38.25271470878579
Aysén,107297,2020/04/09,10,11,9.319925067802455
Magallanes,178362,2020/04/09,73,12,40.928000358820825
Arica y Parinacota,252110,2020/04/10,-,15,-
Tarapacá,382773,2020/04/10,-,1,-
Antofagasta,691854,2020/04/10,128,2,18.501013219552103
Atacama,314709,2020/04/10,52,3,16.5232007981977
Coquimbo,836096,2020/04/10,-,4,-
Valparaíso,1960170,2020/04/10,249,5,12.702979843584995
Metropolitana,8125072,2020/04/10,3158,13,38.86734788319414
O’Higgins,991063,2020/04/10,-,6,-
Maule,1131939,2020/04/10,219,7,19.34733232091129
Ñuble,511551,2020/04/10,-,16,-
Biobío,1663696,2020/04/10,149,8,8.955963108644848
Araucanía,1014343,2020/04/10,148,9,14.590725228054021
Los Ríos,405835,2020/04/10,91,14,22.42290586075622
Los Lagos,891440,2020/04/10,199,10,22.323431750874988
Aysén,107297,2020/04/10,-,11,-
Magallanes,178362,2020/04/10,24,12,13.455780939886298
Arica y Parinacota,252110,2020/04/11,-,15,-
Tarapacá,382773,2020/04/11,-,1,-
Antofagasta,691854,2020/04/11,107,2,15.465690738219333
Atacama,314709,2020/04/11,60,3,19.065231690228117
Coquimbo,836096,2020/04/11,-,4,-
Valparaíso,1960170,2020/04/11,248,5,12.651963860277425
Metropolitana,8125072,2020/04/11,2105,13,25.907462727714904
O’Higgins,991063,2020/04/11,74,6,7.466730167507011
Maule,1131939,2020/04/11,-,7,-
Ñuble,511551,2020/04/11,259,16,50.63033793307021
Biobío,1663696,2020/04/11,281,8,16.890104923014782
Araucanía,1014343,2020/04/11,126,9,12.421833640100045
Los Ríos,405835,2020/04/11,-,14,-
Los Lagos,891440,2020/04/11,178,10,19.96769272188818
Aysén,107297,2020/04/11,-,11,-
Magallanes,178362,2020/04/11,46,12,25.79024680144874
Arica y Parinacota,252110,2020/04/12,103,15,40.85518226171116
Tarapacá,382773,2020/04/12,-,1,-
Antofagasta,691854,2020/04/12,175,2,25.29435401110639
Atacama,314709,2020/04/12,25,3,7.943846537595048
Coquimbo,836096,2020/04/12,-,4,-
Valparaíso,1960170,2020/04/12,273,5,13.927363442966682
Metropolitana,8125072,2020/04/12,3861,13,47.51957890342387
O’Higgins,991063,2020/04/12,-,6,-
Maule,1131939,2020/04/12,341,7,30.125298271373282
Ñuble,511551,2020/04/12,189,16,36.94646281602421
Biobío,1663696,2020/04/12,469,8,28.1902462949962
Araucanía,1014343,2020/04/12,184,9,18.13982055379689
Los Ríos,405835,2020/04/12,-,14,-
Los Lagos,891440,2020/04/12,225,10,25.240061024858655
Aysén,107297,2020/04/12,7,11,6.523947547461719
Magallanes,178362,2020/04/12,45,12,25.22958926228681
Arica y Parinacota,252110,2020/04/13,-,15,-
Tarapacá,382773,2020/04/13,-,1,-
Antofagasta,691854,2020/04/13,103,2,14.887534075108332
